"PROGRAMA","FACULTAD","NIVEL","SEDE_NOMBRE_MAT","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"Ingenieria - Recursos Minerales","Minas","Maestría","Medellín",0,0,0,0,0,0,2,5,7,15,14,3
"Ingenieria - Sistemas","Minas","Doctorado","Medellín",0,0,0,0,0,0,6,1,9,9,7,7
"Ingenieria Ambiental","Minas","Pregrado","Medellín",0,0,0,0,0,0,6,26,47,34,44,16
"Ingenieria De Sistemas","Ingeniería","Pregrado","Bogotá",0,0,0,0,0,0,33,0,0,0,0,0
"Ingenieria Electrica","Ingeniería y arquitectura","Maestría","Manizales",0,0,0,0,0,0,6,5,6,0,0,0
"Ingenieria Industrial","Ingeniería","Maestría","Bogotá",0,0,0,0,0,0,11,20,18,14,20,7
"Ingenieria Industrial","Minas","Maestría","Medellín",0,0,0,0,0,0,3,1,3,3,6,3
"Ingenieria Mecanica","Ingeniería","Maestría","Bogotá",0,0,0,0,0,0,13,19,9,14,9,8
"Instituciones Juridico-Procesales -Universidad De Nariño","Derecho, ciencias políticas y sociales","Especialización","Bogotá",0,0,0,0,0,0,1,0,0,0,0,0
"Instituciones Juridico-Procesales Convenio Univ. Choco","Derecho, ciencias políticas y sociales","Especialización","Bogotá",0,0,0,0,0,0,1,0,0,0,0,0
"Instituciones Juridico Penales - Universidad De Nariño","Derecho, ciencias políticas y sociales","Especialización","Bogotá",0,0,0,0,0,0,2,0,0,0,0,0
"Lingüistica Convenio Universidad Tecnologica Del Choco","Ciencias humanas","Maestría","Bogotá",0,0,0,0,0,0,2,0,0,0,0,0
"Literatura (Estudios Literarios)","Ciencias humanas","Pregrado","Bogotá",0,0,0,0,0,0,17,0,0,0,0,0
"Matematica","Ciencias","Maestría","Bogotá",0,0,0,0,0,0,9,0,0,14,19,0
"Matematica Aplicada","Ciencias","Maestría","Medellín",0,0,0,0,0,0,2,1,4,0,2,3
"Matematica Aplicada - Convenio U Sucre","Ciencias exactas y naturales","Maestría","Manizales",0,0,0,0,0,0,1,0,0,0,0,0
"Salud Animal O Produccion Animal","Medicina veterinaria y de zootecnia","Doctorado","Bogotá",0,0,0,0,0,0,2,2,3,3,2,3
"Actuaría Y Finanzas","Ciencias","Maestría","Bogotá",0,0,0,0,0,0,0,4,9,9,11,5
"Agroecologia","Ciencias agrarias","Doctorado","Medellín",0,0,0,0,0,0,0,1,0,0,0,0
"Alta Gerencia","Administración","Especialización","Manizales",0,0,0,0,0,0,0,17,54,67,56,18
"Ciencias Humanas Y Sociales","Ciencias humanas","Doctorado","Bogotá",0,0,0,0,0,0,0,2,1,7,7,0
"Ecologia","Ciencias agrarias","Doctorado","Medellín",0,0,0,0,0,0,0,3,2,1,5,2
"Estudios Politicos","Ciencias humanas y económicas","Maestría","Medellín",0,0,0,0,0,0,0,4,5,9,13,6
"Geociencias","Ciencias","Doctorado","Bogotá",0,0,0,0,0,0,0,2,3,2,3,2
"Gobierno Electronico","Ingeniería","Especialización","Bogotá",0,0,0,0,0,0,0,33,33,26,12,9
"Ingenieria - Infraestructura Y Sistemas De Transporte","Ingeniería y arquitectura","Maestría","Manizales",0,0,0,0,0,0,0,1,5,2,9,2
"Ingenieria - Ingenieria Electronica","Ingeniería","Maestría","Bogotá",0,0,0,0,0,0,0,1,0,8,8,5
"Ingenieria - Ingenieria Quimica","Ingeniería y arquitectura","Doctorado","Manizales",0,0,0,0,0,0,0,1,1,2,3,5
"Ingenieria De Software","Minas","Especialización","Medellín",0,0,0,0,0,0,0,1,3,6,8,5
"Ingenieria Geotecnia","Minas","Especialización","Medellín",0,0,0,0,0,0,0,9,13,13,25,9
"Mantenimiento","Minas","Especialización","Medellín",0,0,0,0,0,0,0,1,25,30,20,0
"Musicologia","Artes","Maestría","Bogotá",0,0,0,0,0,0,0,6,0,6,4,1
"Radiologia Pediatrica","Medicina","Especialidades Médicas","Bogotá",0,0,0,0,0,0,0,1,3,1,2,2
"Analitica","Minas","Especialización","Medellín",0,0,0,0,0,0,0,0,27,37,39,59
"Automatizacion Industrial","Minas","Maestría","Medellín",0,0,0,0,0,0,0,0,2,0,0,0
"Bioestadistica","Ciencias","Maestría","Bogotá",0,0,0,0,0,0,0,0,2,1,1,0
"Bioinformatica","Ingeniería","Maestría","Bogotá",0,0,0,0,0,0,0,0,4,4,7,3
"Biologia","Caribe","Doctorado","Caribe",0,0,0,0,0,0,0,0,1,0,1,1
"Diseño","Artes","Maestría","Bogotá",0,0,0,0,0,0,0,0,2,8,12,0
"Economia Internacional","Ciencias humanas y económicas","Especialización","Medellín",0,0,0,0,0,0,0,0,3,0,0,0
"Estudios Amazonicos","Amazonía","Doctorado","Amazonía",0,0,0,0,0,0,0,0,2,0,0,1
"Interpretacion Y Pedagogia Instrumental","Artes","Maestría","Bogotá",0,0,0,0,0,0,0,0,4,0,0,2
"Recursos Minerales","Minas","Especialización","Medellín",0,0,0,0,0,0,0,0,4,0,2,3
"Seguridad Alimentaria Y Nutricional","Medicina","Maestría","Bogotá",0,0,0,0,0,0,0,0,17,10,18,1
"Administración De Sistemas Informáticos","Administración","Maestría","Manizales",0,0,0,0,0,0,0,0,0,4,2,4
"Arquitectura","Ciencias","Pregrado","Medellín",0,0,0,0,0,0,0,0,0,49,1,0
"Artes Plasticas","Ciencias","Pregrado","Medellín",0,0,0,0,0,0,0,0,0,14,1,0
"Bioquimica","Ciencias","Doctorado","Bogotá",0,0,0,0,0,0,0,0,0,1,3,1
"Biotecnologia","Ciencias agrarias","Doctorado","Medellín",0,0,0,0,0,0,0,0,0,5,4,0
"Biotecnologia","Ciencias agrarias","Especialización","Medellín",0,0,0,0,0,0,0,0,0,1,1,0
"Biotecnologia","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,0,0,0,0,16,9,0
"Construccion","Ciencias","Pregrado","Medellín",0,0,0,0,0,0,0,0,0,27,0,0
"Enseñanza De Las Ciencias Exactas Y Naturales","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,0,0,0,0,48,75,0
"Entomologia","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,0,0,0,0,5,1,0
"Estadistica","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,0,0,0,0,5,2,0
"Estadistica","Ciencias agrarias","Pregrado","Medellín",0,0,0,0,0,0,0,0,0,13,25,0
"Estudios Feministas De Genero","Ciencias humanas","Especialización","Bogotá",0,0,0,0,0,0,0,0,0,17,24,0
"Fisica","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,0,0,0,0,3,1,0
"Geomorfologia Y Suelos","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,0,0,0,0,1,3,0
"Ingenieria - Automatizacion Industrial","Minas","Maestría","Medellín",0,0,0,0,0,0,0,0,0,6,4,2
"Ingenieria - Ingenieria Mecanica","Minas","Maestría","Medellín",0,0,0,0,0,0,0,0,0,4,8,2
"Ingenieria - Recursos Hidraulicos","Ingeniería y arquitectura","Maestría","Manizales",0,0,0,0,0,0,0,0,0,8,3,3
"Ingenieria Administrativa","Minas","Maestría","Medellín",0,0,0,0,0,0,0,0,0,8,18,3
"Ingenieria Biologica","Ciencias agrarias","Pregrado","Medellín",0,0,0,0,0,0,0,0,0,22,28,0
"Ingenieria De Materiales Y Procesos","Minas","Especialización","Medellín",0,0,0,0,0,0,0,0,0,8,1,3
"Ingenieria Fisica","Ciencias agrarias","Pregrado","Medellín",0,0,0,0,0,0,0,0,0,18,12,0
"Ingenieria Sistemas Y Computacion","Ingeniería","Doctorado","Bogotá",0,0,0,0,0,0,0,0,0,3,7,1
"Ingenieria - Ingenieria De Petroleos","Minas","Maestría","Medellín",0,0,0,0,0,0,0,0,0,20,11,11
"Matematica Aplicada","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,0,0,0,0,1,1,0
"Matematicas","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,0,0,0,0,7,3,0
"Matematicas","Ciencias agrarias","Pregrado","Medellín",0,0,0,0,0,0,0,0,0,9,2,0
"Quimica","Ciencias agrarias","Maestría","Medellín",0,0,0,0,0,0,0,0,0,3,3,0
"Salud Animal O Produccion Animal","Medicina veterinaria y de zootecnia","Maestría","Bogotá",0,0,0,0,0,0,0,0,0,14,19,4
"Salud Y Seguridad En El Trabajo","Enfermería","Especialización","Bogotá",0,0,0,0,0,0,0,0,0,14,14,18
"Archivistica","Ciencias humanas y económicas","Maestría","Medellín",0,0,0,0,0,0,0,0,0,0,8,0
"Ciencia Y Tecnología De Alimentos","Ciencias agrarias","Doctorado","Medellín",0,0,0,0,0,0,0,0,0,0,1,0
"Estadistica","Ciencias agrarias","Doctorado","Medellín",0,0,0,0,0,0,0,0,0,0,2,0
"Estadistica","Ciencias agrarias","Especialización","Medellín",0,0,0,0,0,0,0,0,0,0,16,0
"Fisica","Ciencias","Doctorado","Medellín",0,0,0,0,0,0,0,0,0,0,5,0
"Fisica","Ciencias agrarias","Doctorado","Medellín",0,0,0,0,0,0,0,0,0,0,3,0
"Gestion Y Desarrollo Rural","Ciencias agrarias","Maestría","Bogotá",0,0,0,0,0,0,0,0,0,0,1,1
"Ingenieria - Estructuras","Ingeniería y arquitectura","Maestría","Manizales",0,0,0,0,0,0,0,0,0,0,2,0
"Ingenieria - Ingenieria Civil","Ingeniería","Doctorado","Bogotá",0,0,0,0,0,0,0,0,0,0,2,2
"Ingenieria - Ingenieria Civil","Minas","Doctorado","Medellín",0,0,0,0,0,0,0,0,0,0,1,1
"Ingenieria - Ingenieria Civil","Minas","Maestría","Medellín",0,0,0,0,0,0,0,0,0,0,1,0
"Justicia, Victimas Y Construccion De Paz","Derecho, ciencias políticas y sociales","Especialización","Bogotá",0,0,0,0,0,0,0,0,0,0,31,25
"Metodos Estadisticos Basicos","Ciencias","Especialización","Bogotá",0,0,0,0,0,0,0,0,0,0,18,8
"Psicologia","Ciencias humanas","Doctorado","Bogotá",0,0,0,0,0,0,0,0,0,0,3,1
"Estadistica","Ciencias exactas y naturales","Especialización","Manizales",0,0,0,0,0,0,0,0,0,0,0,13
"Ingenieria - Estructuras","Minas","Maestría","Medellín",0,0,0,0,0,0,0,0,0,0,0,2
"Ingenieria - Ingenieria Mecanica Y Mecatronica","Minas","Doctorado","Medellín",0,0,0,0,0,0,0,0,0,0,0,1
