"dpto","coddepto","mpio","codmpio","codigo","LAT_CIU_NAC","LON_CIU_NAC","n"
"NORTE DE SANTANDER","54","PAMPLONITA","520","54-520",NA,NA,"0"
"NORTE DE SANTANDER","54","HERRAN","347","54-347",NA,NA,"0"
"BOLIVAR","13","SAN PABLO","670","13-670","1.6691580391700001","-77.012728339700004","6"
"SANTANDER","68","CALIFORNIA","132","68-132",NA,NA,"0"
"CHOCO","27","JURADO","372","27-372","7.1060395952300004","-77.764617102599999","4"
"ANTIOQUIA","05","SEGOVIA","736","05-736","7.0810824770499998","-74.699062457899998","21"
"SANTANDER","68","VETAS","867","68-867","7.3093813606299998","-72.870741320899995","1"
"NORTE DE SANTANDER","54","TOLEDO","820","54-820","7.0162878518899996","-75.713584912399995","14"
"SANTANDER","68","MATANZA","444","68-444",NA,NA,"0"
"BOLIVAR","13","CANTAGALLO","160","13-160",NA,NA,"0"
"NORTE DE SANTANDER","54","PAMPLONA","518","54-518","7.3751941484500003","-72.648211059000005","96"
"ANTIOQUIA","05","ANORI","040","05-040","7.0780083333199997","-75.148399900200005","17"
"ANTIOQUIA","05","VALDIVIA","854","05-854","7.1631376806400002","-75.439711915299995","6"
"ANTIOQUIA","05","ITUANGO","361","05-361","7.1716230103600003","-75.764166560000007","31"
"SANTANDER","68","LEBRIJA","406","68-406","7.1133221939400002","-73.219673396800005","3"
"NORTE DE SANTANDER","54","LABATECA","377","54-377","7.2993912065100002","-72.494926832800004","3"
"NORTE DE SANTANDER","54","MUTISCUA","480","54-480","7.3002400822900002","-72.747080146499997","1"
"SANTANDER","68","CHARTA","169","68-169",NA,NA,"0"
"NORTE DE SANTANDER","54","CACOTA","125","54-125",NA,NA,"0"
"NORTE DE SANTANDER","54","SILOS","743","54-743",NA,NA,"0"
"ANTIOQUIA","05","AMALFI","031","05-031","6.9088742895699999","-75.073147583999997","28"
"ANTIOQUIA","05","YONDO","893","05-893","7.00260352994","-73.909890075199996","2"
"SANTANDER","68","GIRON","307","68-307","7.0717740124499997","-73.168312685299995","5"
"ANTIOQUIA","05","REMEDIOS","604","05-604","7.0287935872","-74.690462799599999","11"
"SANTANDER","68","TONA","820","68-820","7.1995257908000001","-72.968257265099993","1"
"ANTIOQUIA","05","YARUMAL","887","05-887","6.9655797000100002","-75.419598406199995","105"
"NORTE DE SANTANDER","54","CHITAGA","174","54-174","7.13853760731","-72.664809710499995","2"
"SANTANDER","68","BUCARAMANGA","001","68-001","7.1227872853400003","-73.132325230999996","718"
"SANTANDER","68","BARRANCABERMEJA","081","68-081","7.0615484225199996","-73.852494396099999","98"
"ANTIOQUIA","05","BRICEÑO","107","05-107","5.6901643120300003","-73.923303998700007","6"
"ANTIOQUIA","05","PEQUE","543","05-543","692583427774","-758293466882","8"
"ANTIOQUIA","05","DABEIBA","234","05-234","7.0000340263499998","-76.262974097200001","17"
"ANTIOQUIA","05","CAMPAMENTO","134","05-134","6.9789898202499998","-75.295333440600004","4"
"SANTANDER","68","SAN VICENTE DE CHUCURI","689","68-689","6.8798133401100001","-73.410018280800003","16"
"SANTANDER","68","FLORIDABLANCA","276","68-276","7.0773217204299996","-73.099121636999996","17"
"SANTANDER","68","BETULIA","092","68-092","6.1090998070799998","-75.984190747900001","1"
"SANTANDER","68","PIEDECUESTA","547","68-547","6.9954748417300001","-73.054308260599996","13"
"ANTIOQUIA","05","TOLEDO","819","05-819","7.0162878518899996","-75.713584912399995","2"
