"dpto","mpio","codigos","LAT_CIU_NAC","LON_CIU_NAC"
"ANTIOQUIA","ANORI","05-040","7.1932116063","-75.1084892603"
"ANTIOQUIA","VALDIVIA","05-854","7.16313768064","-75.4397119153"
"ANTIOQUIA","ITUANGO","05-361","7.17162301036","-75.76416656"
"SANTANDER","LEBRIJA","68-406","7.11332219394","-73.2196733968"
"NORTE DE SANTANDER","LABATECA","54-377","7.29939120651","-72.4949268328"
"NORTE DE SANTANDER","MUTISCUA","54-480","7.30024008229","-72.7470801465"
"SANTANDER","CHARTA","68-169",NA,NA
"NORTE DE SANTANDER","CACOTA","54-125",NA,NA
"NORTE DE SANTANDER","SILOS","54-743",NA,NA
"ANTIOQUIA","AMALFI","05-031","6.90887428957","-75.073147584"
"ANTIOQUIA","YONDO","05-893","7.00260352994","-73.9098900752"
"SANTANDER","GIRON","68-307","7.07177401245","-73.1683126853"
"ANTIOQUIA","REMEDIOS","05-604","7.0287935872","-74.6904627996"
"SANTANDER","TONA","68-820","7.1995257908","-72.9682572651"
"ANTIOQUIA","YARUMAL","05-887","6.96557970001","-75.4195984062"
"NORTE DE SANTANDER","CHITAGA","54-174","7.13853760731","-72.6648097105"
"SANTANDER","BUCARAMANGA","68-001","7.12278728534","-73.132325231"
"SANTANDER","BARRANCABERMEJA","68-081","7.06154842252","-73.8524943961"
"ANTIOQUIA","BRICEÑO","05-107","5.69016431203","-73.9233039987"
"ANTIOQUIA","PEQUE","05-543","6.92583427774","-75.8293466882"
"ANTIOQUIA","DABEIBA","05-234","7.00003402635","-76.2629740972"
"ANTIOQUIA","CAMPAMENTO","05-134","6.97898982025","-75.2953334406"
"SANTANDER","SAN VICENTE DE CHUCURI","68-689","6.87981334011","-73.4100182808"
"SANTANDER","FLORIDABLANCA","68-276","7.07732172043","-73.099121637"
"SANTANDER","BETULIA","68-092","6.10909980708","-75.9841907479"
"SANTANDER","PIEDECUESTA","68-547","6.99547484173","-73.0543082606"
"ANTIOQUIA","TOLEDO","05-819","7.29935086688","-72.4791068097"
"ARAUCA","ARAUCA","81-001","7.07773650197","-70.762773048"
"SANTANDER","SANTA BARBARA","68-705",NA,NA
"ANTIOQUIA","SABANALARGA","05-628","10.6338334111","-74.9206251244"
"ARAUCA","SARAVENA","81-736","6.95387794066","-71.8739494778"
"ARAUCA","ARAUQUITA","81-065","7.02931365346","-71.4276395909"
"SANTANDER","GUACA","68-318","6.87687228146","-72.8560844295"
"ANTIOQUIA","URAMITA","05-842","6.89359302294","-76.1704105356"
"BOYACA","CUBARA","15-223","7.00373327286","-72.1060298045"
"ANTIOQUIA","MURINDO","05-475","6.97696716669","-76.8199865212"
"ANTIOQUIA","SAN ANDRES DE CUERQUIA","05-647","6.92360963908","-75.6727731197"
"ANTIOQUIA","CAÑASGORDAS","05-138","6.75976724617","-76.0302047407"
"SANTANDER","CERRITO","68-162","6.84311761625","-72.6947276921"
"SANTANDER","ZAPATOCA","68-895","6.81384406691","-73.2708555059"
"ANTIOQUIA","BURITICA","05-113","6.71988421942","-75.9062641102"
"ANTIOQUIA","VEGACHI","05-858","6.76716219931","-74.7932517607"
"ANTIOQUIA","ANGOSTURA","05-038","6.88536619294","-75.3349479888"
"ANTIOQUIA","GUADALUPE","05-315","2.02297348548","-75.7590386418"
"SANTANDER","SIMACOTA","68-745","6.44347223669","-73.3374093333"
"SANTANDER","SAN ANDRES","68-669","12.5829884179","-81.6960414806"
"ANTIOQUIA","FRONTINO","05-284","6.77558501432","-76.1312233969"
"ANTIOQUIA","SAN JOSE DE LA MONTAÑA","05-658","6.84974120672","-75.6840821906"
"ANTIOQUIA","GOMEZ PLATA","05-310","6.68411944774","-75.2217555544"
"SANTANDER","CONCEPCION","68-207","6.39397607889","-75.256527061"
"SANTANDER","LOS SANTOS","68-418",NA,NA
"CHOCO","BOJAYA","27-099","6.56638862031","-76.8925022166"
"SANTANDER","EL CARMEN DE CHUCURI","68-235","6.69791160477","-73.5131237068"
"ANTIOQUIA","SANTA ROSA DE OSOS","05-686","6.64517249597","-75.46007968"
"SANTANDER","PUERTO PARRA","68-573",NA,NA
"ARAUCA","FORTUL","81-300","6.79925590284","-71.7678607445"
"ANTIOQUIA","VIGIA DEL FUERTE","05-873","6.5887941127","-76.8963475885"
"BOYACA","CHISCAS","15-180","6.55349164254","-72.5002931534"
"ANTIOQUIA","CAROLINA","05-150","6.72599435248","-75.2835999381"
"ANTIOQUIA","YOLOMBO","05-890","6.59468858167","-75.0135287985"
"SANTANDER","ARATOCA","68-051",NA,NA
"CHOCO","BAHIA SOLANO","27-075","6.2244703848","-77.4037730964"
"SANTANDER","CEPITA","68-160",NA,NA
"ANTIOQUIA","LIBORINA","05-411","6.6763586892","-75.8136759627"
"ANTIOQUIA","BELMIRA","05-086","6.60617594414","-75.6682148634"
"ANTIOQUIA","YALI","05-885","6.66825257998","-74.8411747571"
"SANTANDER","GALAN","68-296",NA,NA
"SANTANDER","MALAGA","68-432","6.7021775212","-72.732133306"
"SANTANDER","CIMITARRA","68-190","6.31369089431","-73.9548939419"
"SANTANDER","VILLANUEVA","68-872","10.610184984","-72.9775939067"
"ANTIOQUIA","ABRIAQUI","05-004","6.6339560277","-76.0631582653"
"SANTANDER","CARCASI","68-152","6.62673429701","-72.626411529"
"ANTIOQUIA","PUERTO BERRIO","05-579","6.4900665391","-74.4046363087"
"SANTANDER","JORDAN","68-370",NA,NA
"BOYACA","GUICAN","15-332","6.46292958742","-72.4120601319"
"ANTIOQUIA","GIRALDO","05-306","6.67830122959","-75.9497722759"
"SANTANDER","BARICHARA","68-079","6.63534926286","-73.2226819755"
"SANTANDER","ENCISO","68-266","6.66972347669","-72.7001385756"
"SANTANDER","MOLAGAVITA","68-468","6.67384550984","-72.8090316759"
"ARAUCA","CRAVO NORTE","81-220","6.30339369864","-70.2035675603"
"ARAUCA","TAME","81-794","6.45653811474","-71.7436532635"
"SANTANDER","SAN JOSE DE MIRANDA","68-684","6.65866422031","-72.7333821183"
"ANTIOQUIA","ENTRERRIOS","05-264","6.56665004926","-75.5171548466"
"SANTANDER","CURITI","68-229","6.60459799378","-73.0689588035"
"ARAUCA","PUERTO RONDON","81-591","6.27986338565","-71.1030694296"
"ANTIOQUIA","OLAYA","05-501",NA,NA
"ANTIOQUIA","SANTA FE DE ANTIOQUIA","05-042","6.5582689862","-75.8272323818"
"SANTANDER","CABRERA","68-121",NA,NA
"SANTANDER","SAN GIL","68-679","6.54927262478","-73.1285702201"
"ANTIOQUIA","MACEO","05-425","6.55311608541","-74.787847715"
"SANTANDER","MOGOTES","68-464","6.47538726902","-72.9704622901"
"SANTANDER","HATO","68-344",NA,NA
"ANTIOQUIA","SOPETRAN","05-761","6.50313220449","-75.745937366"
"SANTANDER","SAN MIGUEL","68-686","6.57664344984","-72.646501116"
"ANTIOQUIA","URRAO","05-847","6.31400117617","-76.132240466"
"SANTANDER","CAPITANEJO","68-147","6.53056931982","-72.6956351621"
"ANTIOQUIA","CISNEROS","05-190","6.53887519896","-75.0862390602"
"SANTANDER","MACARAVITA","68-425","6.50676798489","-72.593288878"
"BOYACA","COVARACHIA","15-218",NA,NA
"ANTIOQUIA","DONMATIAS","05-237","6.48588534626","-75.3940951645"
"ANTIOQUIA","SANTO DOMINGO","05-690","6.54370752206","-75.1576575678"
"SANTANDER","PINCHOTE","68-549",NA,NA
"SANTANDER","PALMAR","68-522",NA,NA
"SANTANDER","SAN JOAQUIN","68-682","6.42754903664","-72.8677032526"
"SANTANDER","ONZAGA","68-502","6.34461189765","-72.8139310472"
"ANTIOQUIA","SAN ROQUE","05-670","6.48481184945","-75.0222636421"
"SANTANDER","VELEZ","68-861","6.00758055992","-73.6745204194"
"SANTANDER","LANDAZURI","68-385","6.21938700028","-73.8090987971"
"SANTANDER","SOCORRO","68-755","6.46369097452","-73.2611309592"
"ANTIOQUIA","CAICEDO","05-125","6.40578758966","-75.984153352"
"ANTIOQUIA","BARBOSA","05-079","5.93031783104","-73.6175602711"
"BOYACA","EL ESPINO","15-248","6.4826131397","-72.4963221128"
"ANTIOQUIA","SAN PEDRO","05-664","6.46043452078","-75.5609117195"
"ANTIOQUIA","SAN JERONIMO","05-656","6.44306379215","-75.7278178256"
"SANTANDER","SANTA HELENA DEL OPON","68-720",NA,NA
"SANTANDER","PARAMO","68-533",NA,NA
"BOYACA","GUACAMAYAS","15-317","6.45971197395","-72.500600213"
"SANTANDER","VALLE DE SAN JOSE","68-855",NA,NA
"BOYACA","SAN MATEO","15-673","6.40183421353","-72.5549428659"
"SANTANDER","CHIMA","68-176",NA,NA
"BOYACA","PANQUEBA","15-522","6.44256891347","-72.4589391962"
"BOYACA","TIPACOQUE","15-810","6.41502583025","-72.6901923301"
"ANTIOQUIA","CARACOLI","05-142","6.40250922802","-74.7592025032"
"ANTIOQUIA","CONCEPCION","05-206","6.39397607889","-75.256527061"
"ANTIOQUIA","GIRARDOTA","05-308","6.37934992894","-75.4436989853"
"BOYACA","BOAVITA","15-097","6.33067803458","-72.5847752243"
