"SEDE_NOMBRE_MAT","FACULTAD","PROGRAMA","NIVEL","n"
"Bogota","Ingenieria","Ingenieria - Transporte","Maestria",56
"Bogota","Ingenieria","Ingenieria - Materiales Y Procesos","Maestria",54
"Bogota","Ingenieria","Ingenieria - Ingenieria Agricola","Maestria",50
"Bogota","Ingenieria","Ingenieria - Ingenieria De Sistemas","Maestria",48
"Bogota","Ingenieria","Ingenieria - Ingenieria Mecanica","Maestria",43
"Bogota","Ingenieria","Materiales Y Procesos","Maestria",28
"Bogota","Ingenieria","Ingenieria - Ingenieria Electronica","Maestria",22
"Bogota","Ingenieria","Bioinformatica","Maestria",18
"Bogota","Ingenieria","Ingenieria - Sistemas Y Computacion","Maestria",9
"Bogota","Ingenieria","Ingenieria - Ingenieria De Sistemas Y Computacion - Conv Upc","Maestria",3
"Bogota","Ingenieria","Ingenieria Civil","Pregrado",1530
"Bogota","Ingenieria","Ingenieria Quimica","Pregrado",1461
"Bogota","Ingenieria","Ingenieria Mecanica","Pregrado",900
"Bogota","Ingenieria","Ingenieria De Sistemas Y Computacion","Pregrado",859
"Bogota","Ingenieria","Ingenieria Electronica","Pregrado",745
"Bogota","Ingenieria","Ingenieria Electrica","Pregrado",726
"Bogota","Ingenieria","Ingenieria","Pregrado",704
"Bogota","Ingenieria","Ingenieria Industrial","Pregrado",681
"Bogota","Ingenieria","Ingenieria Mecatronica","Pregrado",496
"Bogota","Ingenieria","Ingenieria Agricola","Pregrado",391
"Bogota","Ingenieria","Ingenieria De Sistemas","Pregrado",33
"Bogota","Medicina","Salud Publica","Doctorado",65
"Bogota","Medicina","Ciencias Biomedicas","Doctorado",17
"Bogota","Medicina","Medicina","Doctorado",8
"Bogota","Medicina","Medicina Interna","Especialidades Medicas",162
"Bogota","Medicina","Pediatria","Especialidades Medicas",149
"Bogota","Medicina","Medicina","Especialidades Medicas",99
"Bogota","Medicina","Obstetricia Y Ginecologia","Especialidades Medicas",94
"Bogota","Medicina","Cirugia General","Especialidades Medicas",57
"Bogota","Medicina","Medicina Fisica Y Rehabilitacion","Especialidades Medicas",53
"Bogota","Medicina","Psiquiatria","Especialidades Medicas",46
"Bogota","Medicina","Ortopedia Y Traumatologia","Especialidades Medicas",45
"Bogota","Medicina","Anestesiologia Y Reanimacion","Especialidades Medicas",39
"Bogota","Medicina","Radiologia E Imagenes Diagnosticas","Especialidades Medicas",35
"Bogota","Medicina","Dermatologia","Especialidades Medicas",31
"Bogota","Medicina","Geriatria","Especialidades Medicas",29
"Bogota","Medicina","Otorrinolaringologia","Especialidades Medicas",29
"Bogota","Medicina","Reumatologia","Especialidades Medicas",27
"Bogota","Medicina","Neurologia Clinica","Especialidades Medicas",26
"Bogota","Medicina","Neuropediatria","Especialidades Medicas",24
"Bogota","Medicina","Infectologia","Especialidades Medicas",22
"Bogota","Medicina","Medicina Forense","Especialidades Medicas",22
"Bogota","Medicina","Endocrinologia","Especialidades Medicas",21
"Bogota","Medicina","Hematologia","Especialidades Medicas",21
"Bogota","Medicina","Medicina Aeroespacial","Especialidades Medicas",21
"Bogota","Medicina","Perinatologia Y Neonatologia","Especialidades Medicas",21
"Bogota","Medicina","Gastroenterologia","Especialidades Medicas",20
"Bogota","Medicina","Oftalmologia","Especialidades Medicas",20
"Bogota","Medicina","Cirugia Plastica","Especialidades Medicas",19
"Bogota","Medicina","Patologia Anatomica Y Clinica","Especialidades Medicas",19
"Bogota","Medicina","Urologia","Especialidades Medicas",19
"Bogota","Medicina","Cirugia Pediatrica","Especialidades Medicas",18
"Bogota","Medicina","Cuidado Intensivo Pediatrico","Especialidades Medicas",18
"Bogota","Medicina","Onco - Hematologia Pediatrica","Especialidades Medicas",18
"Bogota","Medicina","Neurocirugia","Especialidades Medicas",12
"Bogota","Medicina","Neumologia Clinica","Especialidades Medicas",11
"Bogota","Medicina","Radiologia Pediatrica","Especialidades Medicas",9
"Bogota","Medicina","Administracion En Salud Publica","Especializacion",262
"Bogota","Medicina","Alimentacion Y Nutricion En Promocion De La Salud","Especializacion",126
"Bogota","Medicina","Medicina","Especializacion",11
"Bogota","Medicina","Medicina Alternativa","Maestria",290
"Bogota","Medicina","Salud Publica","Maestria",166
"Bogota","Medicina","Medicina","Maestria",98
"Bogota","Medicina","Epidemiologia Clinica","Maestria",86
"Bogota","Medicina","Fisiologia","Maestria",83
"Bogota","Medicina","Discapacidad E Inclusion Social","Maestria",62
"Bogota","Medicina","Toxicologia","Maestria",62
"Bogota","Medicina","Ingenieria Biomedica","Maestria",59
"Bogota","Medicina","Neurociencias","Maestria",59
"Bogota","Medicina","Genetica Humana","Maestria",52
"Bogota","Medicina","Seguridad Alimentaria Y Nutricional","Maestria",46
"Bogota","Medicina","Infecciones Y Salud En El Tropico","Maestria",40
"Bogota","Medicina","Fisioterapia Del Deporte Y La Actividad Fisica","Maestria",39
"Bogota","Medicina","Morfologia Humana","Maestria",33
"Bogota","Medicina","Bioquimica","Maestria",1
"Bogota","Medicina","Medicina","Pregrado",2350
"Bogota","Medicina","Nutricion Y Dietetica","Pregrado",611
"Bogota","Medicina","Fisioterapia","Pregrado",284
"Bogota","Medicina","Terapia Ocupacional","Pregrado",248
"Bogota","Medicina","Fonoaudiologia","Pregrado",228
"Bogota","Medicina Veterinaria Y De Zootecnia","Salud Animal O Produccion Animal","Doctorado",15
"Bogota","Medicina Veterinaria Y De Zootecnia","Salud Animal","Doctorado",8
"Bogota","Medicina Veterinaria Y De Zootecnia","Anatomopatologia Veterinaria","Especialidades Medicas",15
"Bogota","Medicina Veterinaria Y De Zootecnia","Medicina Veterinaria Y De Zootecnia","Especialidades Medicas",3
