"YEAR","LON_CIU_NAC","LAT_CIU_NAC","DEP_NAC","CIU_NAC","n"
2009,"-751963501468","44396307255","TOLIMA","Ibague",51
2009,"-751985143435","797776036994","ANTIOQUIA","Caucasia",2
2009,"-752207941366","393505594095","TOLIMA","Ortega",4
2009,"-752288076868","952598596406","SUCRE","Ovejas",1
2009,"-752406831254","423948330632","TOLIMA","Rovira",1
2009,"-752613936054","613596027701","ANTIOQUIA","El santuario",2
2009,"-752779458694","293554559251","HUILA","Neiva",27
2009,"-752920234071","932068414479","SUCRE","Corozal",1
2009,"-753103024361","571278805376","ANTIOQUIA","Sonson",4
2009,"-753260352533","268418035182","HUILA","Campoalegre",2
2009,"-753349479888","688536619294","ANTIOQUIA","Angostura",1
2009,"-75335269012","608497157368","ANTIOQUIA","El carmen de viboral",3
2009,"-753380784357","61735481398","ANTIOQUIA","Marinilla",3
2009,"-753529801717","757506519303","ANTIOQUIA","Caceres",2
2009,"-753762557551","614622006041","ANTIOQUIA","Rionegro",20
2009,"-75385219416","930015762595","SUCRE","Sincelejo",16
2009,"-754016749242","910415277266","CORDOBA","Chinu",2
2009,"-754088497209","798570061466","CORDOBA","Montelibano",3
2009,"-754164218404","849792361753","CORDOBA","Pueblo nuevo",2
2009,"-754195984062","696557970001","ANTIOQUIA","Yarumal",8
2009,"-754289204217","578953996024","ANTIOQUIA","Abejorral",3
2009,"-754309210797418","5993145794356","ANTIOQUIA","La ceja",5
2009,"-754327850915","28866588236","HUILA","Palermo",1
2009,"-754337958576","443777027275","TOLIMA","Cajamarca",2
2009,"-754353027477292","62692840353564","ANTIOQUIA","Guarne",5
2009,"-754361470337","148833022079","CAQUETA","La montañita",1
2009,"-75436794027","894250255224","CORDOBA","Sahagun",1
2009,"-754436989853","637934992894","ANTIOQUIA","Girardota",3
2009,"-75455726565","56126036828","CALDAS","Aguadas",7
2009,"-754600089101","552868689559","CALDAS","Pacora",9
2009,"-754871709558","54026014886","CALDAS","Salamina",21
2009,"-754904150625","505705056379","CALDAS","Manizales",491
2009,"-754907773111","527130438493","CALDAS","Aranzazu",1
2009,"-755024226761","635822753091","ANTIOQUIA","Copacabana",1
2009,"-755197693228","516641593633","CALDAS","Neira",16
2009,"-75530327312","973339187649","SUCRE","San onofre",3
2009,"-755457294756","238783133576","HUILA","Gigante",2
2009,"-755467041973","8373541537","CORDOBA","Planeta rica",5
2009,"-755473481633","539480455966","CALDAS","La merced",2
2009,"-755512346168","495994125575","CALDAS","Villamaria",11
2009,"-755544475761","633378556247","ANTIOQUIA","Bello",13
2009,"-75562282237","529735027786","CALDAS","Filadelfia",1
2009,"-755770556256","624894080956","ANTIOQUIA","Medellin",688
2009,"-755831907344","616666179755","ANTIOQUIA","Envigado",4
2009,"-755996904188","547433367144","CALDAS","Marmato",1
2009,"-756063849663","498551800459","CALDAS","Chinchina",16
2009,"-756079932658","161582907928","CAQUETA","Florencia",14
2009,"-756240743865","487650859907","RISARALDA","Santa rosa de cabal",7
2009,"-756267382299","219565280171","HUILA","Garzon",8
2009,"-756446841365","353021377748","TOLIMA","Rioblanco",1
2009,"-756490942155","451619928578","QUINDIO","Calarca",1
2009,"-75649466209","544609993376","CALDAS","Supia",4
2009,"-756504125158","616404964537","ANTIOQUIA","La estrella",1
2009,"-75675182816","483463403327","RISARALDA","Dosquebradas",1
2009,"-756762454094","453805331619","ANTIOQUIA","Armenia",19
2009,"-757023188489","542395347461","CALDAS","Riosucio",18
2009,"-757076638080808","60326518277961","ANTIOQUIA","Amaga",1
